feature,chi2,pval
thal_7.0,42.958359766220795,5.591744920954754e-11
cp_4.0,42.41009661782769,7.400700485093718e-11
exang_1.0,38.05261289859465,6.886243041766517e-10
thal_3.0,36.592218559647065,1.4561182580144057e-09
ca_0.0,28.31560142130198,1.030619941754071e-07
slope_1.0,24.08653976852871,9.210184387776242e-07
cp_3.0,21.55110851761019,3.445234900461196e-06
slope_2.0,20.62415994034042,5.588638677509923e-06
ca_2.0,19.509795116410082,1.0008514908371677e-05
exang_0.0,18.466709200788582,1.7289821839572877e-05
sex_0.0,15.78521824230332,7.095469864559678e-05
cp_2.0,15.646366906474817,7.635913443405028e-05
ca_1.0,12.461166601428054,0.00041550035852018296
ca_3.0,12.330323302333742,0.0004456592152197567
oldpeak,11.38266929358615,0.0007413251058114449
sex_1.0,7.432845483026321,0.006404399334924239
restecg_0.0,4.697129681168647,0.030213034428752134
restecg_2.0,3.9878451885821633,0.04582963866384646
thal_6.0,3.133970872082821,0.0766767651018502
thalach,2.670637550378995,0.10221507009904304
cp_1.0,2.20819823462545,0.13727892211809561
restecg_1.0,1.3665665028952447,0.24240268308283652
slope_3.0,1.0738914095204666,0.3000681199408276
age,1.0058960735774294,0.31588802420775847
trestbps,0.5326473185196355,0.46549599339966863
fbs_1.0,0.1646692402175821,0.6848935422601989
chol,0.11107876013060015,0.7389193094785083
fbs_0.0,0.028721379107717937,0.8654239551135848
